"phase","institution","filename","status","bytes","url","retrieved","error"
"3","UVic","nd_UVic_Sustainability-Advisory-Committee-mandate.url","LINK-SAVED","0","https://www.uvic.ca/campusplanning/about/committees/sustainabilityadvisorycommittee/index.php","2026-08-18T14:14:52",""
"3","UVic","nd_UVic_UN-Sustainable-Development-Goals-at-UVic.url","LINK-SAVED","0","https://www.uvic.ca/about-uvic/un-sdg-uvic/index.php","2026-08-18T14:14:52",""
"3","UVic","nd_UVic_District-Energy-Plant-DEP-Electrification-Project.url","LINK-SAVED","0","https://www.uvic.ca/campusplanning/current-projects/dep-electrification-project/index.php","2026-08-18T14:14:52",""
"3","UVic","2023_UVic_AASHE-STARS-Report-UVic-Platinum-85.74.url","LINK-SAVED","0","https://reports.aashe.org/institutions/university-of-victoria-bc/report/2023-12-13/","2026-08-18T14:14:52",""
"3","UVic","2020_UVic_UVic-STARS-Report-2020-Gold-era.url","LINK-SAVED","0","https://reports.aashe.org/institutions/university-of-victoria-bc/report/2020-05-05/","2026-08-18T14:14:52",""
"3","SFU","2025_SFU_2030-Sustainability-Climate-and-Resilience-Strategy.url","LINK-SAVED","0","https://www.sfu.ca/sustainability/sustainability-plan/sustainability-strategy.html","2026-08-18T14:14:52",""
"3","SFU","2025_SFU_Design-and-Definitions-strategy-methodology.url","LINK-SAVED","0","https://www.sfu.ca/sustainability/sustainability-plan/sustainability-strategy/design-and-definitions.html","2026-08-18T14:14:52",""
"3","SFU","2025_SFU_2020-2025-Sustainability-and-Climate-Action-Report.url","LINK-SAVED","0","https://www.sfu.ca/sustainability/reports/24-25.html","2026-08-18T14:14:52",""
"3","SFU","2018_SFU_STARS-Report-2018-v2.1-Gold-73.90-expired-2021.url","LINK-SAVED","0","https://reports.aashe.org/institutions/simon-fraser-university-bc/report/2018-10-05/","2026-08-18T14:14:52",""
"3","SFU","nd_SFU_Responsible-Investment-Policy-Board-Policy-B10.16.url","LINK-SAVED","0","https://www.sfu.ca/policies/gazette/board/B10-16.html","2026-08-18T14:14:52",""
"3","SFU","2021_SFU_SFU-commits-to-full-fossil-fuel-divestment-President's-statement.url","LINK-SAVED","0","https://www.sfu.ca/president/statements/community-messages/2021/sfu-commits-to-full-divestment-from-fossil-fuels.html","2026-08-18T14:14:52",""
"3","SFU","2026_SFU_SFU-completes-fossil-fuel-divestment-news-release.url","LINK-SAVED","0","https://www.sfu.ca/sfunews/stories/2026/01/sfu-completes-fossil-fuel-divestment--reinforcing-commitment-to-.html","2026-08-18T14:14:52",""
"3","SFU","nd_SFU_Sustainable-Procurement-program.url","LINK-SAVED","0","https://www.sfu.ca/finance/services/procurement/sustainable-procurement.html","2026-08-18T14:14:52",""
"3","SFU","nd_SFU_Purchasing-Policy-AD-11.01.url","LINK-SAVED","0","https://www.sfu.ca/policies/gazette/administrative/ad11-01.html","2026-08-18T14:14:52",""
"3","SFU","nd_SFU_Ethical-Procurement-Policy-AD-11.21.url","LINK-SAVED","0","https://www.sfu.ca/policies/gazette/administrative/ad11-21.html","2026-08-18T14:14:52",""
"3","SFU","2010_SFU_Green-Labs-Program.url","LINK-SAVED","0","https://www.sfu.ca/fs/projects-initiatives/sustainable-initiatives/energy-conservation/green-labs.html","2026-08-18T14:14:52",""
"3","SFU","nd_SFU_Waste-Reduction-Four-Stream-Waste-System.url","LINK-SAVED","0","https://www.sfu.ca/fs/projects-initiatives/sustainable-initiatives/waste-reduction.html","2026-08-18T14:14:52",""
